score_phrase,title,url,score,genre,release_year,release_month,release_day
Great,Hybrid,/games/hybrid-140542/xbox-360-37860,8,Shooter,2012,8,13
Mediocre,The Dark Knight Rises,/games/the-dark-knight-rises/iphone-130653,5.5,Action,2012,8,10
Good,10000000,/games/10000000/iphone-139135,7.5,,2012,8,9
Okay,The Political Machine 2012,/games/the-political-machine-2012/pc-131306,6.5,Strategy,2012,8,9
Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps3-135578,9,Platformer,2012,8,8
Amazing,Sound Shapes,/games/sound-shapes-queasy-games/vita-110145,9,Platformer,2012,8,8
Okay,One Piece: Pirate Warriors,/games/one-piece-pirate-warriors/ps3-116782,6,Action,2012,10,8
Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/ps3-126073,8.2,Strategy,2012,10,8
Amazing,Dishonored,/games/dishonored/xbox-360-112932,9.2,Action,2012,10,7
Amazing,Dishonored,/games/dishonored/pc-112928,9.2,Action,2012,10,7
Amazing,Dishonored,/games/dishonored/ps3-112931,9.2,Action,2012,10,7
Good,Angry Birds Trilogy,/games/angry-birds-trilogy/3ds-82424,7,"Puzzle, Action",2012,10,6
Good,Angry Birds Trilogy,/games/angry-birds-trilogy/xbox-360-88826,7,"Puzzle, Action",2012,10,6
Good,Angry Birds Trilogy,/games/angry-birds-trilogy/ps3-135852,7,"Puzzle, Action",2012,10,6
Great,Girls Like Robots,/games/girls-like-robots/iphone-145093,8.5,Puzzle,2012,10,19
Bad,Happy Wars,/games/happy-wars/xbox-360-64840,4,Action,2012,10,19
Bad,007 Legends,/games/007-legends/ps3-132391,4.5,Action,2012,10,16
Amazing,Funky Smugglers,/games/funky-smugglers/iphone-145106,9,Action,2012,10,16
Okay,Colour Bind,/games/colour-bind/pc-143757,6.2,,2012,10,15
Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/xbox-360-131357,5,Racing,2012,10,15
Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/pc-131360,5,Racing,2012,10,15
Mediocre,Retro City Rampage,/games/retro-city-rampage/ps3-128971,5.3,"Action, Adventure",2012,10,15
Mediocre,Retro City Rampage,/games/retro-city-rampage/pc-129032,5.3,"Action, Adventure",2012,10,15
Great,Dance Central 3,/games/dance-central-3/xbox-360-135601,8,Music,2012,10,15
Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/ps3-131361,5,Racing,2012,10,15
Mediocre,Snapshot,/games/snapshot/pc-143174,5,Platformer,2012,9,17
Amazing,F1 2012,/games/f1-2012/ps3-130382,9,Racing,2012,9,17
Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/ps3-133012,8.5,Sports,2012,9,17
Amazing,F1 2012,/games/f1-2012/xbox-360-130379,9,Racing,2012,9,17
Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/pc-133014,8.5,Sports,2012,9,17
Amazing,Borderlands 2,/games/borderlands-2/xbox-360-94188,9,"Shooter, RPG",2012,9,13
Amazing,Borderlands 2,/games/borderlands-2/pc-94190,9,"Shooter, RPG",2012,9,13
Great,Joe Danger: The Movie,/games/joe-danger-the-movie/xbox-360-115463,8,Action,2012,9,13
Amazing,Borderlands 2,/games/borderlands-2/ps3-94189,9,"Shooter, RPG",2012,9,13
Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps4-20007461,9,Platformer,2012,8,8
Amazing,Persona 4 Arena,/games/persona-4-arena/ps3-116910,9,Fighting,2012,8,7
Amazing,Persona 4 Arena,/games/persona-4-arena/xbox-360-116913,9,Fighting,2012,8,7
Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/pc-129413,4.9,Platformer,2012,10,4
Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/xbox-360-129412,4.9,Platformer,2012,10,4
Mediocre,Retro City Rampage,/games/retro-city-rampage/vita-128972,5.3,"Action, Adventure",2012,10,15
Amazing,The Unfinished Swan,/games/the-unfinished-swan/ps3-133433,9,Puzzle,2012,10,14
Great,Tokyo Jungle,/games/tokyo-jungle-139049/ps3-85484,8,Adventure,2012,9,13
Amazing,Halo 4,/games/halo-4/xbox-360-110563,9.8,Shooter,2012,11,1
